start,duration,confidence
0.03718,1.90620,0.243
1.94338,1.90281,0.508
3.84619,1.90337,0.342
5.74956,1.90616,0.224
7.65572,1.90631,0.520
9.56203,1.90374,0.293
11.46577,1.89303,0.621
13.35880,1.87228,0.224
15.23108,1.85217,0.533
17.08325,1.83289,0.307
18.91613,1.81326,0.576
20.72939,1.79402,0.432
22.52341,1.76987,0.582
24.29328,1.75005,0.500
26.04333,1.72862,0.496
27.77195,1.70130,0.443
29.47325,1.69149,0.255
31.16475,1.70933,0.461
32.87408,1.34741,0.569
34.22149,1.84862,0.475
36.07010,1.92721,0.657
37.99732,2.05898,0.293
40.05629,2.12149,0.749
42.17778,2.09354,0.394
44.27132,2.06726,0.124
46.33858,2.03976,0.653
48.37834,2.01641,0.344
50.39475,1.99149,0.267
52.38624,1.96512,0.702
54.35136,1.94055,0.129
56.29192,1.95620,0.159
58.24812,2.03787,0.537
60.28599,2.07015,0.469
62.35614,2.08175,0.559
64.43789,2.11930,0.563
66.55719,2.07875,0.395
68.63594,2.00546,0.095
70.64140,2.04584,0.050
72.68723,2.07126,0.620
74.75850,2.07388,0.195
76.83238,2.09699,0.528
78.92937,2.05701,0.311
80.98638,2.07290,0.201
83.05928,2.11811,0.129
85.17740,2.11052,0.426
87.28792,2.17844,0.809
89.46636,2.27309,0.426
91.73945,2.24495,0.368
93.98440,2.20861,0.263
96.19301,2.16962,0.213
98.36263,2.13449,0.589
100.49712,2.09531,0.392
102.59243,2.05881,0.188
104.65124,2.02544,0.525
106.67668,1.97906,0.695
108.65574,1.93281,0.531
110.58855,1.89213,0.364
112.48068,1.84641,0.282
114.32708,1.83324,0.389
116.16033,1.89040,0.389
118.05072,1.99043,0.594
120.04115,2.00352,0.399
122.04467,2.01557,0.416
124.06024,2.03730,0.532
126.09755,2.03370,0.450
128.13125,2.07402,0.288
130.20527,2.04011,0.491
132.24538,1.98613,0.320
134.23152,1.91776,0.294
136.14928,1.88289,0.479
138.03217,1.89563,0.097
139.92780,2.01235,0.486
141.94015,2.08090,0.158
144.02105,2.07609,0.794
146.09714,2.07972,0.607
148.17686,1.01463,0.715
149.19149,2.06346,0.704
151.25495,2.12254,0.317
153.37748,2.14178,0.751
155.51927,2.16729,0.623
157.68655,2.09120,0.552
159.77775,2.08591,0.730
161.86366,2.11441,0.458
163.97808,2.10759,0.557
166.08567,2.09130,0.602
168.17697,2.07324,0.446
170.25021,2.04908,0.461
172.29929,2.03903,0.495
174.33832,0.50697,0.747
174.84530,2.01345,0.620
176.85875,2.00134,0.491
178.86008,1.98755,0.410
180.84763,1.96866,0.406
182.81629,1.95149,0.679
184.76778,1.93966,0.322
186.70744,1.92154,0.729
188.62898,1.91236,0.276
190.54134,1.90937,0.374
192.45072,1.90258,0.108
194.35330,1.90552,0.739
196.25882,1.90963,0.618
198.16845,1.89995,0.633
200.06840,1.89833,0.348
201.96673,1.90790,0.523
203.87463,1.90538,0.595
205.78000,1.90470,0.829
207.68470,0.95198,0.398
208.63668,1.90414,0.558
210.54082,1.90396,0.536
212.44478,1.90288,0.404
214.34766,1.90626,0.314
216.25391,1.90749,0.406
218.16140,1.90544,0.545
220.06684,1.90303,0.744
221.96987,1.91095,0.600
223.88081,1.90914,0.548
225.78996,1.90007,0.696
227.69003,1.90882,0.264
229.59885,1.90614,0.211
231.50499,1.91035,0.584
233.41534,1.89843,0.602
235.31376,1.90002,0.470
237.21378,1.90587,0.621
239.11966,1.90795,0.366
241.02760,1.90921,0.467
242.93682,1.90371,0.473
244.84052,1.90370,0.484
246.74422,1.90157,0.268
248.64579,1.90243,0.412
250.54823,1.91010,0.230
252.45832,1.90159,0.457
254.35991,1.90499,0.558
256.26490,1.91267,0.421
258.17757,1.90334,0.249
260.08091,1.89868,0.429
261.97959,1.90633,0.237
263.88592,1.90592,0.278
265.79183,1.90725,0.631
267.69908,1.90810,0.430
269.60718,1.90338,0.241
