start,duration,confidence
0.03718,0.47662,1.000
0.51380,0.47708,0.970
0.99088,0.47628,0.883
1.46717,0.47621,0.872
1.94338,0.47589,0.854
2.41927,0.47600,0.864
2.89527,0.47521,0.847
3.37048,0.47571,0.857
3.84619,0.47582,0.835
4.32201,0.47552,0.875
4.79753,0.47598,0.863
5.27352,0.47604,0.864
5.74956,0.47608,0.841
6.22564,0.47613,0.865
6.70177,0.47697,0.852
7.17874,0.47698,0.850
7.65572,0.47657,0.826
8.13229,0.47658,0.855
8.60887,0.47658,0.823
9.08545,0.47658,0.830
9.56203,0.47700,0.814
10.03902,0.47533,0.843
10.51435,0.47614,0.827
10.99049,0.47528,0.833
11.46577,0.47523,0.827
11.94100,0.47393,0.847
12.41493,0.47302,0.830
12.88795,0.47085,0.856
13.35880,0.47073,0.849
13.82953,0.46815,0.874
14.29768,0.46759,0.854
14.76527,0.46581,0.854
15.23108,0.46482,0.830
15.69589,0.46303,0.864
16.15892,0.46286,0.841
16.62178,0.46147,0.838
17.08325,0.46008,0.823
17.54333,0.45829,0.863
18.00161,0.45774,0.825
18.45935,0.45678,0.830
18.91613,0.45541,0.800
19.37154,0.45408,0.837
19.82562,0.45193,0.813
20.27755,0.45184,0.833
20.72939,0.45097,0.812
21.18037,0.44845,0.829
21.62881,0.44782,0.791
22.07663,0.44678,0.779
22.52341,0.44428,0.771
22.96769,0.44303,0.786
23.41072,0.44200,0.818
23.85273,0.44055,0.812
24.29328,0.43971,0.817
24.73298,0.43699,0.843
25.16997,0.43720,0.799
25.60717,0.43615,0.805
26.04333,0.43553,0.771
26.47886,0.43304,0.831
26.91190,0.43096,0.796
27.34285,0.42910,0.763
27.77195,0.42808,0.751
28.20003,0.42537,0.797
28.62540,0.42455,0.662
29.04995,0.42330,0.514
29.47325,0.42246,0.462
29.89571,0.42288,0.509
30.31860,0.42287,0.450
30.74147,0.42328,0.485
31.16475,0.42411,0.449
31.58886,0.42408,0.540
32.01294,0.42489,0.447
32.43783,0.43625,0.532
32.87408,0.44929,0.470
33.32336,0.44928,0.615
33.77264,0.44885,0.601
34.22149,0.45105,0.362
34.67254,0.46568,0.367
35.13822,0.46662,0.475
35.60484,0.46526,0.438
36.07010,0.46838,0.456
36.53848,0.47092,0.578
37.00940,0.48894,0.623
37.49834,0.49898,0.375
37.99732,0.50111,0.338
38.49843,0.51745,0.643
39.01587,0.51950,0.708
