start,duration,confidence,loudness,tempo,tempo_confidence,key,key_confidence,mode,mode_confidence,time_signature
0.00000,43.22819,1.000,-17.148,127.185,0.731,6,0.686,0,0.805,4,0.906
43.22819,28.42525,0.652,-15.765,118.737,0.534,6,0.525,0,0.740,1,0.486
71.65344,32.99780,0.474,-14.326,112.519,0.595,6,0.821,0,0.815,4,1.000
104.65124,18.90467,0.782,-13.169,124.089,0.523,6,0.332,0,0.525,4,1.000
123.55592,8.68947,0.597,-13.170,117.262,0.314,4,0.685,1,0.661,4,0.455
132.24538,92.11485,0.401,-6.001,123.368,0.264,6,0.332,0,0.428,4,0.477
224.36023,31.90467,0.448,-4.814,126.023,0.303,6,0.611,0,0.482,4,0.917
256.26490,30.95979,0.394,-4.332,126.127,0.345,9,0.537,1,0.534,4,0.796
287.22469,40.93884,0.498,-3.694,126.056,0.264,6,0.039,0,0.273,4,1.000
328.16353,14.77065,0.207,-3.424,126.058,0.157,9,0.203,1,0.402,4,1.000
342.93419,49.51272,0.643,-3.189,125.974,0.252,9,0.099,1,0.200,4,1.000
392.44691,33.35838,0.287,-5.276,120.849,0.161,6,0.000,0,0.122,4,0.849
425.80529,7.28586,0.121,-8.669,122.326,0.189,11,0.000,0,0.000,4,1.000
433.09114,17.58825,0.449,-10.708,118.304,0.222,6,0.552,0,0.547,4,0.478
450.67940,10.31329,0.353,-11.733,128.028,0.297,6,0.759,0,0.505,4,0.400
460.99269,12.70967,0.502,-12.781,114.295,0.619,6,0.108,0,0.571,5,0.529
473.70236,48.46793,0.780,-16.722,110.545,0.361,6,0.730,0,0.827,3,0.256
522.17029,21.28304,1.000,-43.275,119.509,0.084,2,0.000,1,0.000,4,1.000
