start,duration,confidence,loudness_start,loudness_max_time,loudness_max,pitches,timbre
0.00000,0.49469,1.000,-60.000,0.03133,-15.084,[0.006 0.041 0.007 0.010 0.016 0.054 1.000 0.030 0.008 0.006 0.013 0.005],[33.189 -17.584 -48.494 46.152 75.309 153.949 -7.804 26.707 -11.141 74.598 102.016 -22.742]}
0.49469,0.47546,1.000,-36.204,0.01161,-12.368,[0.021 0.046 0.017 0.019 0.029 0.082 1.000 0.050 0.019 0.016 0.022 0.016],[40.282 13.119 36.305 114.235 97.965 -67.018 -28.116 0.576 9.920 -27.102 -20.557 9.529]}
0.97016,0.31791,1.000,-33.517,0.01646,-14.604,[0.003 0.008 0.003 0.004 0.041 0.013 0.051 0.011 0.019 1.000 0.025 0.005],[40.128 -25.045 -30.182 53.893 62.955 -39.410 -65.590 0.233 17.763 -19.026 -11.399 -5.479]}
1.28807,0.15764,0.239,-29.909,0.01800,-25.608,[0.009 0.016 0.007 0.005 0.037 0.015 0.149 0.019 0.032 1.000 0.066 0.008],[30.541 -28.840 19.838 18.389 35.749 -55.093 -70.727 -1.894 7.775 -11.003 8.896 -9.186]}
1.44571,0.31918,1.000,-34.498,0.01445,-12.839,[0.033 1.000 0.025 0.008 0.007 0.023 0.045 0.009 0.025 0.049 0.009 0.011],[40.895 3.496 -1.927 80.859 83.876 -46.716 -58.338 11.325 30.689 -16.050 -16.833 -2.829]}
1.76490,0.13914,0.378,-31.370,0.00827,-25.282,[0.056 1.000 0.056 0.008 0.018 0.018 0.038 0.008 0.048 0.472 0.049 0.012],[31.197 -30.020 30.446 19.951 72.013 -60.645 -36.863 -9.358 7.107 -5.808 -3.157 3.565]}
1.90404,0.49451,1.000,-32.181,0.03019,-14.234,[0.011 0.062 0.013 0.011 0.019 0.047 1.000 0.029 0.011 0.052 0.015 0.004],[36.928 -39.004 -33.461 70.323 56.640 35.903 -36.715 21.571 0.611 3.973 23.886 -17.491]}
2.39855,0.47510,1.000,-34.743,0.01327,-12.812,[0.016 0.094 0.013 0.013 0.021 0.057 1.000 0.039 0.018 0.050 0.017 0.009],[40.546 4.742 39.111 111.738 99.930 -52.924 -23.020 3.107 0.151 -31.670 -16.368 4.018]}
2.87365,0.47519,1.000,-32.373,0.01433,-14.191,[0.010 0.033 0.010 0.011 0.060 0.028 0.123 0.026 0.059 1.000 0.037 0.014],[38.736 -28.873 -32.499 80.610 61.332 -45.566 -65.318 5.973 14.839 -25.156 -11.755 -7.100]}
3.34884,0.32050,1.000,-35.373,0.01583,-12.776,[0.031 1.000 0.028 0.008 0.007 0.019 0.038 0.010 0.027 0.053 0.006 0.009],[40.612 4.694 3.495 76.177 80.326 -54.299 -56.483 13.305 25.905 -13.933 -13.071 -1.888]}
3.66934,0.15574,0.201,-30.554,0.01243,-25.299,[0.046 1.000 0.044 0.008 0.013 0.018 0.025 0.007 0.048 0.613 0.049 0.010],[31.028 -28.534 32.266 21.129 57.408 -63.534 -32.995 3.984 5.000 -11.734 5.315 9.270]}
3.82508,0.47737,1.000,-32.612,0.01384,-14.791,[0.011 0.055 0.011 0.010 0.018 0.046 1.000 0.027 0.011 0.044 0.018 0.005],[38.334 -38.601 -42.380 70.869 42.265 -45.988 -55.328 2.822 2.120 -20.452 -18.068 -9.067]}
4.30245,0.32422,1.000,-35.923,0.01596,-11.212,[0.014 0.064 0.008 0.007 0.010 0.028 1.000 0.021 0.014 0.035 0.013 0.008],[42.227 19.454 48.475 103.860 101.302 -61.519 -28.677 -3.530 5.673 -21.381 -8.441 8.706]}
4.62667,0.15111,0.034,-26.945,0.00851,-23.657,[0.009 0.057 0.007 0.006 0.015 0.059 1.000 0.040 0.014 0.041 0.014 0.005],[31.796 5.437 67.746 51.783 86.078 -79.653 1.970 10.939 -1.535 -2.383 -9.784 -12.956]}
4.77778,0.32014,1.000,-32.039,0.01656,-13.363,[0.004 0.017 0.010 0.010 0.044 0.013 0.053 0.012 0.031 1.000 0.024 0.007],[40.262 -26.929 -39.268 65.175 58.222 -42.156 -67.737 8.113 14.612 -24.940 -12.992 -8.213]}
5.09791,0.15574,0.341,-31.281,0.01255,-26.624,[0.014 0.029 0.016 0.019 0.054 0.023 0.201 0.033 0.064 1.000 0.095 0.011],[29.957 -26.715 2.394 15.088 34.072 -49.932 -57.225 12.312 9.642 -13.375 -2.086 -10.084]}
5.25365,0.31887,1.000,-35.887,0.01582,-13.484,[0.028 1.000 0.025 0.010 0.008 0.024 0.043 0.010 0.026 0.052 0.007 0.010],[40.504 1.960 8.238 73.854 78.764 -48.287 -52.508 19.744 25.332 -16.514 -10.582 -1.091]}
