start,duration,confidence
0.03718,0.23831,1.000
0.27549,0.23831,1.000
0.51380,0.23854,0.970
0.75234,0.23854,0.970
0.99088,0.23814,0.883
1.22903,0.23814,0.883
1.46717,0.23811,0.872
1.70527,0.23811,0.872
1.94338,0.23794,0.854
2.18132,0.23794,0.854
2.41927,0.23800,0.864
2.65727,0.23800,0.864
2.89527,0.23761,0.847
3.13287,0.23761,0.847
3.37048,0.23786,0.857
3.60834,0.23786,0.857
3.84619,0.23791,0.835
4.08410,0.23791,0.835
4.32201,0.23776,0.875
4.55977,0.23776,0.875
4.79753,0.23799,0.863
5.03552,0.23799,0.863
5.27352,0.23802,0.864
5.51154,0.23802,0.864
5.74956,0.23804,0.841
5.98760,0.23804,0.841
6.22564,0.23806,0.865
6.46371,0.23806,0.865
6.70177,0.23848,0.852
6.94026,0.23848,0.852
7.17874,0.23849,0.850
7.41723,0.23849,0.850
7.65572,0.23829,0.826
7.89400,0.23829,0.826
8.13229,0.23829,0.855
8.37058,0.23829,0.855
8.60887,0.23829,0.823
8.84716,0.23829,0.823
9.08545,0.23829,0.830
9.32374,0.23829,0.830
9.56203,0.23850,0.814
9.80053,0.23850,0.814
10.03902,0.23766,0.843
10.27669,0.23766,0.843
10.51435,0.23807,0.827
10.75242,0.23807,0.827
10.99049,0.23764,0.833
11.22813,0.23764,0.833
11.46577,0.23762,0.827
11.70339,0.23762,0.827
11.94100,0.23697,0.847
12.17797,0.23697,0.847
12.41493,0.23651,0.830
12.65144,0.23651,0.830
12.88795,0.23542,0.856
13.12337,0.23542,0.856
13.35880,0.23537,0.849
13.59416,0.23537,0.849
13.82953,0.23407,0.874
14.06360,0.23407,0.874
14.29768,0.23379,0.854
14.53147,0.23379,0.854
14.76527,0.23290,0.854
14.99817,0.23290,0.854
15.23108,0.23241,0.830
15.46348,0.23241,0.830
15.69589,0.23151,0.864
15.92741,0.23151,0.864
16.15892,0.23143,0.841
16.39035,0.23143,0.841
16.62178,0.23073,0.838
16.85251,0.23073,0.838
17.08325,0.23004,0.823
17.31329,0.23004,0.823
17.54333,0.22914,0.863
17.77247,0.22914,0.863
18.00161,0.22887,0.825
18.23048,0.22887,0.825
18.45935,0.22839,0.830
18.68774,0.22839,0.830
18.91613,0.22770,0.800
19.14384,0.22770,0.800
19.37154,0.22704,0.837
19.59858,0.22704,0.837
19.82562,0.22596,0.813
20.05159,0.22596,0.813
20.27755,0.22592,0.833
20.50347,0.22592,0.833
20.72939,0.22549,0.812
20.95488,0.22549,0.812
21.18037,0.22422,0.829
21.40459,0.22422,0.829
21.62881,0.22391,0.791
21.85272,0.22391,0.791
22.07663,0.22339,0.779
22.30002,0.22339,0.779
22.52341,0.22214,0.771
22.74555,0.22214,0.771
22.96769,0.22152,0.786
23.18921,0.22152,0.786
23.41072,0.22100,0.818
23.63173,0.22100,0.818
23.85273,0.22028,0.812
24.07300,0.22028,0.812
24.29328,0.21985,0.817
24.51313,0.21985,0.817
24.73298,0.21849,0.843
24.95148,0.21849,0.843
25.16997,0.21860,0.799
25.38857,0.21860,0.799
25.60717,0.21808,0.805
25.82525,0.21808,0.805
26.04333,0.21777,0.771
26.26109,0.21777,0.771
26.47886,0.21652,0.831
26.69538,0.21652,0.831
26.91190,0.21548,0.796
27.12738,0.21548,0.796
27.34285,0.21455,0.763
27.55740,0.21455,0.763
27.77195,0.21404,0.751
27.98599,0.21404,0.751
28.20003,0.21269,0.797
28.41271,0.21269,0.797
28.62540,0.21227,0.662
28.83767,0.21227,0.662
29.04995,0.21165,0.514
29.26160,0.21165,0.514
29.47325,0.21123,0.462
29.68448,0.21123,0.462
29.89571,0.21144,0.509
30.10715,0.21144,0.509
30.31860,0.21144,0.450
30.53003,0.21144,0.450
30.74147,0.21164,0.485
30.95311,0.21164,0.485
31.16475,0.21206,0.449
31.37680,0.21206,0.449
31.58886,0.21204,0.540
31.80090,0.21204,0.540
32.01294,0.21245,0.447
32.22539,0.21245,0.447
32.43783,0.21812,0.532
32.65595,0.21812,0.532
32.87408,0.22464,0.470
33.09872,0.22464,0.470
33.32336,0.22464,0.615
33.54800,0.22464,0.615
33.77264,0.22442,0.601
33.99706,0.22442,0.601
34.22149,0.22553,0.362
34.44701,0.22553,0.362
34.67254,0.23284,0.367
34.90538,0.23284,0.367
35.13822,0.23331,0.475
35.37153,0.23331,0.475
35.60484,0.23263,0.438
35.83747,0.23263,0.438
36.07010,0.23419,0.456
36.30429,0.23419,0.456
36.53848,0.23546,0.578
36.77394,0.23546,0.578
37.00940,0.24447,0.623
37.25387,0.24447,0.623
37.49834,0.24949,0.375
37.74783,0.24949,0.375
37.99732,0.25055,0.338
38.24787,0.25055,0.338
38.49843,0.25872,0.643
38.75715,0.25872,0.643
39.01587,0.25975,0.708
39.27562,0.25975,0.708
39.53537,0.26046,0.442
39.79583,0.26046,0.442
40.05629,0.26670,0.632
40.32299,0.26670,0.632
40.58969,0.26405,0.755
40.85374,0.26405,0.755
41.11779,0.26529,0.477
41.38308,0.26529,0.477
41.64836,0.26471,0.616
41.91307,0.26471,0.616
42.17778,0.26184,0.730
42.43962,0.26184,0.730
42.70146,0.26336,0.450
42.96482,0.26336,0.450
43.22819,0.26114,0.656
43.48933,0.26114,0.656
43.75047,0.26043,0.710
44.01090,0.26043,0.710
44.27132,0.25986,0.473
44.53118,0.25986,0.473
44.79104,0.25900,0.646
45.05004,0.25900,0.646
45.30904,0.25731,0.730
45.56635,0.25731,0.730
45.82366,0.25746,0.410
46.08112,0.25746,0.410
46.33858,0.25581,0.571
46.59439,0.25581,0.571
46.85020,0.25539,0.737
47.10559,0.25539,0.737
47.36097,0.25451,0.459
47.61549,0.25451,0.459
47.87000,0.25417,0.666
48.12417,0.25417,0.666
48.37834,0.25337,0.775
48.63171,0.25337,0.775
48.88508,0.25248,0.417
49.13755,0.25248,0.417
49.39003,0.25132,0.627
49.64135,0.25132,0.627
49.89267,0.25104,0.713
50.14371,0.25104,0.713
50.39475,0.24981,0.510
50.64456,0.24981,0.510
50.89437,0.24881,0.606
51.14318,0.24881,0.606
51.39199,0.24941,0.739
51.64140,0.24941,0.739
51.89080,0.24772,0.429
52.13852,0.24772,0.429
52.38624,0.24667,0.626
52.63291,0.24667,0.626
52.87958,0.24657,0.725
53.12614,0.24657,0.725
53.37271,0.24529,0.475
53.61799,0.24529,0.475
53.86328,0.24404,0.619
54.10732,0.24404,0.619
54.35136,0.24457,0.731
54.59593,0.24457,0.731
54.84050,0.24236,0.433
55.08286,0.24236,0.433
55.32522,0.24074,0.609
55.56596,0.24074,0.609
55.80670,0.24261,0.711
56.04931,0.24261,0.711
56.29192,0.24105,0.398
